trust_score,success_rate,failures,latency,cpu_usage,failure_risk
59,0.6642994573169991,17,40.31279787495738,50.808523693817236,1
53,0.6390903898436336,11,18.487434738252883,80.61908392169627,1
55,0.7928177505030533,2,63.2206379011448,51.61894100827229,1
93,0.8303529395480297,13,116.90618360222963,93.35503194613672,1
69,0.7848206034938844,4,97.79251032991068,93.16544455024189,1
44,0.9799225335690198,1,75.47488521181889,36.458367050378406,1
52,0.7678428262161507,16,39.750200907456176,67.21943069997172,1
56,0.8859946812729509,13,81.95227810752037,80.14561957198939,1
95,0.9118552143457421,18,90.15326529479096,93.03571781332408,1
43,0.9444220637881457,3,34.90308111728889,82.41302823804256,1
44,0.940553689077258,4,12.971298626282966,50.08789970931623,1
72,0.9638646201512762,4,40.712421055808406,94.57840611567136,0
92,0.6228862076692382,7,30.88982814009008,25.142216201012616,1
93,0.7708177121756581,3,59.59519710752341,73.37115751655944,0
40,0.8051867291373276,8,62.64485447952924,89.07974312784789,1
47,0.9604730409847951,14,96.50739692837064,60.305003190780084,1
82,0.6789465121334982,4,9.355237633298609,29.07134476394868,1
45,0.6643096737876049,1,78.97977064671758,20.366613886288345,1
59,0.8017085532168857,7,81.30233231036009,35.1641901942085,1
92,0.7368149315981708,14,90.14504653534071,28.53382714562011,1
83,0.7279400778731042,20,74.3046400290807,90.44341427558051,1
50,0.8845278202388213,15,91.82196971466941,69.85972718300172,1
69,0.7559868470873087,7,16.803999283081822,61.502938392260134,0
52,0.8396809275569185,16,78.65682915540008,93.19655685434401,1
80,0.6624882861890254,17,100.80531808522393,82.34033655864194,1
62,0.6943320314443258,1,36.25890413688651,89.28670941485024,1
75,0.6181047107371784,5,101.97955566504854,44.236871324401974,1
41,0.8456468126188456,11,26.749742399187586,93.23618296286766,1
83,0.835033814224169,20,103.69312887552138,82.66879156100521,1
62,0.9630583997932007,11,60.727932556363676,56.93838219531094,0
71,0.8973506262611448,14,40.69666360098209,32.71983519206448,0
81,0.9481754052960011,5,11.40530422332886,78.24966958606647,0
82,0.7957756071404405,20,58.1786553997372,26.437340350339966,0
100,0.9560118016771423,19,43.32523500857665,79.75255960929411,0
60,0.8667633027579953,0,63.40816960552393,71.78770735926908,0
99,0.7938029159012427,14,83.30114880450944,86.23569163829208,1
65,0.6097433954967999,10,93.01815830153757,32.882715220969985,1
82,0.7972069830511176,20,11.642969529930369,74.28140434322029,0
71,0.6495531707165065,13,113.90234940469992,46.41160081029846,1
93,0.9649969009799185,12,61.42085579637597,49.517390092846426,0
64,0.6288850321995092,11,69.98328700311666,84.7762547088342,1
96,0.7001778361520418,8,52.59691963257053,69.76267278725332,1
58,0.9068027220727004,2,23.38984572161893,26.201810206643756,1
79,0.6541815239401052,2,27.361721388761605,58.6676511934582,1
68,0.8518785233919374,16,24.363183357478423,78.07674355789094,0
53,0.9001865199679752,0,110.52564392482546,83.36561651702212,1
77,0.6680355672620939,19,34.852615351573654,35.58902499823719,1
92,0.9051714327955294,2,57.884127315771,38.01077905450111,0
45,0.7555693324622328,16,87.84598559652731,80.88960278993358,1
58,0.7867599958478483,20,31.90196768997745,53.463537611951125,1
93,0.6416454119832891,2,90.85837531536596,42.66217952977415,1
96,0.8145234239759619,6,108.38614034392137,31.27626223163258,1
74,0.7828132159938863,5,116.51275975628653,28.72056171834369,1
43,0.9605855052827565,2,116.44104481807909,48.71315222916671,1
46,0.8887915964236411,16,28.070082115142107,44.79790846584663,1
95,0.9623231201732106,8,46.390912865799194,86.0864178351161,0
51,0.9675616341214783,17,101.1889035890433,45.68866461907075,1
46,0.6862212678687581,3,36.13006610865263,29.057838280819666,1
75,0.806450442150731,13,83.08585703397469,37.33104094439089,1
44,0.8648360863983476,0,81.77770567196873,20.620870925362027,1
82,0.9307767706471719,8,71.98244108189921,92.18725456971451,0
67,0.8172053083448975,11,103.24369249859032,42.5180015486239,1
79,0.7316081150464033,4,103.93234684687656,31.003061992155565,1
88,0.8828615010097641,17,6.259065899324582,69.4686184898467,0
47,0.6547521954585018,16,34.88624835292742,56.314265335064675,1
73,0.749864194486101,12,40.73334036534563,84.24024870710294,1
99,0.9181480607367596,5,47.14993692438159,36.971476714745314,0
96,0.8986874065934782,13,57.44150737638804,69.06642315775245,0
45,0.7139228240471798,1,117.63585847483083,57.47106507486944,1
91,0.6115311149083784,10,43.781646469167846,61.49134453141629,1
89,0.8000469759831924,15,57.88456824536399,47.304973700031226,0
59,0.7450868221424165,3,102.57735198884461,31.737526376754303,1
64,0.6119154893342,18,46.20406177380186,51.99142389594611,1
79,0.7728193573855427,6,63.95838339179403,62.41745407352317,0
82,0.6322922069198254,0,100.4497738022872,33.04599833031466,1
95,0.6608767722489685,2,48.02539662821044,74.8061638240637,1
88,0.8482388889509849,0,56.07078469768307,29.98129138089134,0
47,0.858953419142564,15,21.782251004745117,76.41144708685162,1
81,0.6208814380512986,14,51.18637077862934,54.12714064645775,1
74,0.859710202736804,10,31.581325557929066,51.95879674826001,0
84,0.8675515392744586,0,79.03493320418427,59.972075648267676,0
80,0.6790345723291858,4,116.72714454519947,61.90343540951847,1
73,0.6040827020364942,6,11.619305736207874,23.023892939013436,1
78,0.9104028406638119,2,30.62025093258681,93.98373529549013,0
69,0.8749570727324651,0,97.5911385816401,79.61420749439787,1
65,0.7406287388767981,6,71.29551464102248,46.06734461906588,1
91,0.8029281693439086,16,8.3428946684742,24.231360792581377,0
86,0.8407836565333794,12,83.25819785011483,37.22600243339818,1
84,0.9680124402420929,0,40.52325049819083,41.40662419133352,0
86,0.696053621725179,5,61.051907036826954,55.34466924809173,1
44,0.7020596867350599,9,22.212211662673383,61.70934034360386,1
76,0.7621223034648185,16,106.22249856299676,38.441883589903966,1
76,0.8993956662007806,20,78.5511623660163,38.16875176203175,0
100,0.7271771196994663,11,90.91398290350277,75.72711789393118,1
90,0.9253975116301967,14,38.716654789617365,79.88071295108011,0
67,0.8561276104825688,3,81.12580847047246,66.25598427887579,1
83,0.9539586204371514,13,58.92395342733249,62.904059806779934,0
84,0.8800923727626642,6,17.135238796588638,35.62645068518232,0
49,0.8693857195777417,19,107.18453282236837,50.20234053634261,1
94,0.7974620101677211,0,52.50746356813492,63.1716858078858,0
86,0.9009344133716212,15,27.489571371392376,55.347471983961796,0
57,0.60707931250171,4,9.20892629862515,62.31465256957384,1
41,0.9608078343534528,2,18.46474964118043,33.68067490945667,1
56,0.6862432057995168,10,34.752438711386716,40.20993927132898,1
